prompt,modified_prompt
"realistic detailed face portrait of a beautiful young geisha with poppies in her elaborate hair by alphonse mucha, ayami kojima, amano, greg hildebrandt, and mark brooks, art nouveau, neo - gothic, gothic","realistic detailed face portrait of a beautiful young geisha with poppies in her elaborate hair by alphonse mucha, ayami kojima, amano, greg hildebrandt, and mark brooks, art nouveau, neo - gothic, gothic with a cinematic atmosphere"
"anime key visual of tanya degurechaff aiming down a bolt action rifle, official digital media illustrated by artist so - bin, 1 9 1 8 colorized footage of the great war, trenches bombs, trending on artstation","anime key visual of tanya degurechaff aiming down a bolt action rifle, official digital media illustrated by artist so - bin, 1 9 1 8 colorized footage of the great war, trenches bombs, trending on artstation in vibrant colors"
"george harrison, sky and clouds background, digital artwork by artgerm and lily abdullina, wpol and sarasti, donato giancola and android jones, artstation","george harrison, sky and clouds background, digital artwork by artgerm and lily abdullina, wpol and sarasti, donato giancola and android jones, artstation with dim lighting"
"cat in a room. digital art. artstation. realistic. vibrant. illustration. in the style of pixar movie. octane render. art by makoto shinkai, stanley artgerm lau, wlop, rossdraws. volumetric lighting.","cat in a room. digital art. artstation. realistic. vibrant. illustration. in the style of pixar movie. octane render. art by makoto shinkai, stanley artgerm lau, wlop, rossdraws. volumetric lighting. in high contrast"
Japanese robot geisha abstract analog glitch retro art house,Japanese robot geisha abstract analog glitch retro art house in vibrant colors
"a close up photo of a cute fluffy baby ragdoll cat saying uwu at the camera, trending on twitter, viral on facebook, 8k UHD","a close up photo of a cute fluffy baby ragdoll cat saying uwu at the camera, trending on twitter, viral on facebook, 8k UHD in vibrant colors"
"dramatic Photorealistic, Matte Painting of a gigantic Mobile suit Mech standing in a busy post apocalyptic deep flooded Hong Kong city street at night,dark Tall buildings by Greg Rutkowski,Craig Mullins,Hyperrealism,Beautiful dramatic moody lighting,Cinematic Atmosphere,volumetric,Octane Rendering,8K","dramatic Photorealistic, Matte Painting of a gigantic Mobile suit Mech standing in a busy post apocalyptic deep flooded Hong Kong city street at night,dark Tall buildings by Greg Rutkowski,Craig Mullins,Hyperrealism,Beautiful dramatic moody lighting,Cinematic Atmosphere,volumetric,Octane Rendering,8K in high contrast"
human face with amazing eyes,human face with amazing eyes in vibrant colors
"robot ninja mask helmet metal gear solid training suit swat commando, aesthetic octane render, 8 k hd resolution, by ilya kuvshinov and cushart krentz and gilleard james, by carl warner and jim woodring, trending on artstation : 1. 5, sweet joy harmony color scheme","robot ninja mask helmet metal gear solid training suit swat commando, aesthetic octane render, 8 k hd resolution, by ilya kuvshinov and cushart krentz and gilleard james, by carl warner and jim woodring, trending on artstation : 1. 5, sweet joy harmony color scheme in high contrast"
"a beautiful female robot, elegant pose, melting, by Anato Finnstark, Tom Bagshaw, Brom","a beautiful female robot, elegant pose, melting, by Anato Finnstark, Tom Bagshaw, Brom in vibrant colors"
"fire logo, single color, black background.","fire logo, single color, black background. in vibrant colors"
yoda performing at woodstock,yoda performing at woodstock with a cinematic atmosphere
"a cinematic still of meeboo bohtrops, shmiggle biggles in the bleem podorkers, jajaboonords flipjimtots, masterpiece, closeup, octane render, nvidia raytracing demo","a cinematic still of meeboo bohtrops, shmiggle biggles in the bleem podorkers, jajaboonords flipjimtots, masterpiece, closeup, octane render, nvidia raytracing demo in high contrast"
"Henry Cavill as Link in The Legend of Zelda Breath of the Wild promo shoot, studio lighting","Henry Cavill as Link in The Legend of Zelda Breath of the Wild promo shoot, studio lighting with a cinematic atmosphere"
"front shot of a giant nose sucking up humans , intricate, elegant, highly detailed, centered, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm, impresionism","front shot of a giant nose sucking up humans , intricate, elegant, highly detailed, centered, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm, impresionism in vibrant colors"
"breathtaking detailed digital stained glaiss painting of a fairy in a pond with koi fish and intricate flowers of light, gauze dress draped of fireflies and art nouveau golden ribbons, in style of yoji shinkawa and hyung - tae kim, trending on artstation, dark night, great composition, concept art, highly detailed, dynamic pose,","breathtaking detailed digital stained glaiss painting of a fairy in a pond with koi fish and intricate flowers of light, gauze dress draped of fireflies and art nouveau golden ribbons, in style of yoji shinkawa and hyung - tae kim, trending on artstation, dark night, great composition, concept art, highly detailed, dynamic pose, with dramatic shadows"
"Emma Watson lying on the bed in sleepwear, summertime, fantasy, intricate, elegant, highly detailed, digital painting, artstation, concept art, matte, sharp focus, illustration, hearthstone, art by Artgerm and Greg Rutkowski and Alphonse Mucha","Emma Watson lying on the bed in sleepwear, summertime, fantasy, intricate, elegant, highly detailed, digital painting, artstation, concept art, matte, sharp focus, illustration, hearthstone, art by Artgerm and Greg Rutkowski and Alphonse Mucha in vibrant colors"
professional photo of a dog holding a sign with a nuclear radiation warning on it,professional photo of a dog holding a sign with a nuclear radiation warning on it in vibrant colors
"a girl watching looking up at the clouds, full shot, atmospheric lighting, detailed face, by makoto shinkai, stanley artger m lau, wlop, rossdraws, james jean, andrei riabovitchev, marc simonetti, krenz c ","a girl watching looking up at the clouds, full shot, atmospheric lighting, detailed face, by makoto shinkai, stanley artger m lau, wlop, rossdraws, james jean, andrei riabovitchev, marc simonetti, krenz c  with dramatic shadows"
"tuesday weld in a pink bikini, tuesday weld swimming in a palm springs midcentury swimming pool by gil elvgren, by mort kunstler, by earl norem","tuesday weld in a pink bikini, tuesday weld swimming in a palm springs midcentury swimming pool by gil elvgren, by mort kunstler, by earl norem with dim lighting"
"four breakdancers battling in the bronx in 1984, by Andy Warhol, gritty, energetic, hyperrealistic, intricate, Moody lightning, trending on artstation","four breakdancers battling in the bronx in 1984, by Andy Warhol, gritty, energetic, hyperrealistic, intricate, Moody lightning, trending on artstation with a cinematic atmosphere"
"hyper realistic pencil drawing of emma stone as an eldritch princess, cloak, fantasy, dark, stunning, detail, sharp","hyper realistic pencil drawing of emma stone as an eldritch princess, cloak, fantasy, dark, stunning, detail, sharp in vibrant colors"
"within the whole and finite capsule apparent with awe the apparition a ghost, an idea seep's into infinity, face axonometric mechanical fantasy intricate elegant highly detailed, in volumetric void of latent space, volumetric lighting","within the whole and finite capsule apparent with awe the apparition a ghost, an idea seep's into infinity, face axonometric mechanical fantasy intricate elegant highly detailed, in volumetric void of latent space, volumetric lighting with a cinematic atmosphere"
"hyperrealism close - up mythological portrait of a medieval woman's shattered face partially made of silver color flowers in style of classicism using the fibonacci golden ratio, pale skin, wearing silver dress, dark and dull palette","hyperrealism close - up mythological portrait of a medieval woman's shattered face partially made of silver color flowers in style of classicism using the fibonacci golden ratio, pale skin, wearing silver dress, dark and dull palette in vibrant colors"
"bill cipher from gravity falls by ross tran, artgerm, marc simonetti","bill cipher from gravity falls by ross tran, artgerm, marc simonetti with a cinematic atmosphere"
a bird with a hat in pixelart,a bird with a hat in pixelart with a cinematic atmosphere
"highly detailed painting of dieselpunk kreta, winter, snow, dystopia, by greg rutkowski, by raphael lacoste, 4 k resolution, trending on artstation","highly detailed painting of dieselpunk kreta, winter, snow, dystopia, by greg rutkowski, by raphael lacoste, 4 k resolution, trending on artstation in vibrant colors"
"fully black background. background hex 000000. goddess princess face close-up portrait ram skull. japanese coloured paper bas relief paper sculpture. jellyfish phoenix head, nautilus, orchid, skull, betta fish, bioluminiscent creatures, intricate artwork by Tooth Wu and wlop and beeple. octane render, trending on artstation, greg rutkowski very coherent symmetrical artwork. cinematic, hyper realism, high detail, octane render, 8k","fully black background. background hex 000000. goddess princess face close-up portrait ram skull. japanese coloured paper bas relief paper sculpture. jellyfish phoenix head, nautilus, orchid, skull, betta fish, bioluminiscent creatures, intricate artwork by Tooth Wu and wlop and beeple. octane render, trending on artstation, greg rutkowski very coherent symmetrical artwork. cinematic, hyper realism, high detail, octane render, 8k with a cinematic atmosphere"
